ID,lat,lon,elevation
USS0022G06S,42.87,-122.17,6010
USS0033J01S,58.19,-133.83,850
USS0051K14S,59.74,-151.25,1320
USS0005M17S,37.61,-105.37,10650
USS0016J01S,40.36,-116.86,7400
USS0010C22S,46.91,-110.85,7410
USS0010C23S,46.93,-110.9,6550
USS0020G12S,42.64,-120.95,6180
USS0021A36S,48.82,-121.93,4970
USS0022C13S,46.16,-122.18,4440
USS0011H58S,41.79,-111.55,7406
USS0006K12S,39.8,-106.03,8940
USS0007H06S,41.4,-107.26,7850
USS0016E18S,44.79,-116.09,4890
USS0006N16S,36.03,-106.81,9306
USS0006J08S,40.35,-106.38,10960
USS0006J27S,40.4,-105.96,10280
USS0006J20S,40.71,-106.01,9020
USS0006J19S,40.79,-106.6,9340
USS0005R01S,33.4,-105.79,10280
USS0048M04S,61.38,-149,2100
USS0011J70S,40.28,-111.61,7774
USS0006K44S,39.6,-106.54,9480
USS0006K45S,39.6,-106.51,8500
USS0005J05S,40.2,-105.6,9560
USS0018A21S,48.86,-118.4,4680
USS0022F45S,43.23,-122.43,3240
USS0005H02S,41.23,-105.38,8330
USS0006H24S,41.24,-106.23,9574
USS0006H25S,41.07,-106.94,8915
USS0007S03S,33.01,-107.87,9240
USS0019L43S,38.68,-119.96,8017
USS0019L44S,38.84,-119.89,8557
USS0019L41S,38.72,-119.89,8129
USS0019L42S,38.4,-119.54,9313
USS0016A14S,48.72,-116.46,3520
USS0011J11S,40.99,-111.82,6779
USS0045M07S,61.19,-145.65,1750
USS0011H59S,41.36,-111.49,8215
USS0005L11S,38.88,-105.07,11460
USS0006M21S,37.47,-106.54,11620
USS0006L06S,38.16,-106.6,10020
USS0008M04S,37.5,-108.11,10720
USS0007J03S,40.06,-107.01,9080
USS0051K05S,59.86,-151.32,1653
USS0013M06S,37.5,-113.94,6763
USS0013M07S,37.4,-113.46,8322
USS0021B31S,47.16,-121.42,4640
USS0021B50S,47.2,-121.78,3900
USS0049M22S,61.11,-149.67,2080
USS0045L01S,60.55,-145.75,1405
USS0021G16S,42.41,-121.68,6830
USS0021G17S,42.79,-121.98,5400
USS0017D20S,45.98,-117.95,5580
USS0021A28S,48.93,-121.2,5830
USS0017B06S,47.86,-117.04,4210
USS0010F30S,43.78,-110.93,9260
USS0005N04S,36.13,-105.53,8600
USS0023D03S,45.25,-123.28,420
USS0021C41S,46.87,-121.53,5240
USS0050N05S,62.63,-150.78,850
USS0049M26S,61.79,-149.28,3550
USS0049L18S,60.19,-149.62,400
USS0042N01S,62.07,-142.05,3320
USS0042M01S,61.35,-142.71,1610
USS0010K06S,39.68,-110.43,8736
USS0011H60S,41.86,-111.51,8270
USS0012L20S,38.07,-112.17,9749
USS0006L05S,38.7,-106.37,10540
USS0006K46S,39.26,-106.63,10110
USS0005L12S,38.29,-105.85,10720
USS0049L01S,60.96,-149.09,1540
USS0021C42S,46.1,-121.96,2140
USS0010D39S,45.5,-110.08,6335
USS0010C27S,46.48,-110.71,7600
USS0023B18S,47.71,-123.46,4870
