lat,lon,elev,sid
33.01,-107.87,9240,1048
33.36,-107.83,8500,595
33.37,-108.71,9000,757
33.4,-105.79,10280,1034
33.65,-109.31,9020,511
33.69,-109.22,7990,902
33.74,-108.95,8000,486
33.76,-109.48,7850,866
33.8,-109.15,8400,416
33.81,-110.92,6900,877
33.9,-109.16,8500,1127
33.92,-109.46,9200,617
33.98,-109.5,9125,310
34.37,-111.01,7930,705
34.46,-111.38,7700,1140
34.46,-111.41,7300,308
34.75,-111.41,7630,969
34.86,-111.61,6393,1212
34.94,-111.52,7500,640
34.97,-111.51,8500,1125
35.07,-111.84,7200,488
35.14,-112.15,7180,861
35.26,-112.06,7100,1139
35.7,-105.81,8210,921
35.77,-105.78,11445,922
35.78,-105.54,11120,854
36,-106.83,8600,744
36.01,-106.55,10160,1173
36.07,-105.63,10664,1254
36.13,-105.53,8600,1083
36.18,-108.95,9050,1138
36.19,-105.56,9800,491
36.25,-115.63,7860,1110
36.31,-115.68,8626,1112
36.32,-115.7,8890,1111
36.33,-109.06,9200,1143
36.41,-105.33,9350,1170
36.51,-106.32,9300,316
36.72,-106.26,10000,532
36.99,-105.26,10600,665
37.21,-105.12,10220,857
37.21,-105.2,10500,430
37.35,-105.23,10860,829
37.4,-113.46,8322,1066
37.47,-106.54,11620,1058
37.48,-106.8,11000,874
37.49,-106.84,10200,840
37.49,-107.51,10880,843
37.49,-112.51,7465,593
37.49,-112.58,7792,514
37.49,-113.85,6065,583
37.5,-113.94,6763,1065
37.51,-113.4,7982,592
37.52,-107.32,10740,1160
37.52,-112.27,8900,907
37.53,-113.05,9263,561
37.57,-112.84,9827,626
37.6,-112.92,8050,1248
37.61,-105.37,10650,1005
37.62,-107.03,11250,624
37.65,-108.01,9100,739
37.66,-107.8,8920,387
37.66,-112.74,9607,390
37.68,-112.86,10039,1154
37.7,-112.65,8350,1148
37.71,-107.51,11600,327
37.75,-112.78,8692,1197
37.79,-108.02,10000,465
37.79,-108.18,11580,1185
37.8,-107.92,10200,586
37.81,-109.49,8858,383
37.84,-111.88,9640,865
37.85,-105.44,9649,914
37.87,-109.45,8924,1153
37.88,-107.36,11100,1188
37.89,-107.71,11200,713
37.89,-108.2,9600,589
37.93,-107.68,9800,538
37.97,-105.54,10800,773
37.97,-106.56,11140,1124
37.98,-110.79,9209,1269
37.99,-107.2,11560,762
38.05,-111.34,10018,1249
38.07,-112.17,9749,1099
38.07,-119.23,9445,846
38.08,-110.77,9410,1261
38.16,-106.6,10020,1059
38.21,-111.48,9799,452
38.28,-119.61,9604,574
38.3,-112.36,10349,339
38.3,-112.44,8705,621
38.3,-119.55,7198,575
38.31,-119.6,8770,771
38.42,-108.38,9400,409
38.44,-119.37,9249,587
38.48,-109.27,9578,572
38.48,-109.29,8783,1215
38.48,-112.39,9101,557
38.5,-112.01,9228,1156
38.51,-112.02,9853,364
38.51,-119.63,7736,697
38.55,-119.8,8661,462
38.61,-119.92,8067,356
38.67,-119.61,8306,633
38.68,-111.6,9414,348
38.68,-119.96,8017,1049
38.69,-120,8360,1067
38.7,-106.37,10540,1100
38.72,-119.89,8129,1051
38.77,-111.68,9623,475
38.79,-111.69,8396,1184
38.8,-111.68,7944,495
38.82,-106.59,9600,680
38.85,-119.94,7742,508
38.85,-120.08,7653,463
38.88,-105.07,11460,1057
38.88,-112.25,8734,694
38.89,-106.95,10160,380
38.93,-120.05,6242,473
38.95,-112.15,9319,1278
38.99,-106.75,10640,1141
39,-120.13,7619,724
39.01,-111.58,9020,691
39.01,-111.58,9020,691
39.01,-114.31,10060,1147
39.02,-107.05,10700,737
39.03,-106.08,10360,939
39.05,-107.87,9960,682
39.05,-111.47,9228,444
39.06,-108.06,10000,622
39.08,-106.61,10600,542
39.09,-106.54,10600,369
39.09,-107.63,9840,675
39.13,-107.29,9500,618
39.13,-111.35,9327,1228
39.13,-111.44,9409,371
39.14,-111.51,9524,1224
39.14,-120.22,6745,848
39.16,-119.9,7884,615
39.17,-120.15,6797,809
39.19,-120.26,8013,784
39.24,-111.52,8787,1226
39.25,-119.88,6493,1242
39.26,-106.63,10110,1101
39.29,-106.55,10400,547
39.29,-117.11,8685,337
39.3,-106.11,11150,938
39.32,-114.62,9377,334
39.32,-119.89,8801,652
39.33,-120.37,6894,428
39.35,-112.33,7850,1146
39.36,-106.06,11400,531
39.38,-106.2,11400,485
39.42,-111.25,8596,1227
39.43,-120.31,8338,541
39.44,-105.91,10600,937
39.45,-111.27,8988,714
39.45,-115.98,7890,1137
39.45,-120.29,6980,539
39.46,-114.65,7537,1155
39.46,-119.94,8235,340
39.49,-106.17,10550,415
39.49,-120.28,6436,540
39.5,-111.73,7206,1217
39.56,-114.63,7775,1150
39.56,-115.84,8017,443
39.57,-105.8,10960,935
39.6,-106.51,8500,1041
39.6,-106.54,9480,1040
39.65,-105.87,11100,505
39.66,-105.59,10600,936
39.67,-105.9,11400,602
39.68,-111.32,8709,612
39.72,-106.16,9400,802
39.74,-113.98,9122,1247
39.76,-105.91,10400,970
39.76,-107.36,10880,345
39.8,-105.78,11300,335
39.8,-106.03,8940,1014
39.86,-106.42,10520,1120
39.87,-111.28,8975,399
39.88,-107.6,9400,378
39.89,-110.75,9171,543
39.89,-111.25,7837,400
39.92,-111.72,7835,1280
39.93,-111.63,8044,686
39.94,-105.59,9700,564
39.94,-112.41,7401,844
40,-107.24,9700,827
40.03,-105.58,10300,838
40.04,-105.54,9910,663
40.04,-105.75,10620,1187
40.06,-107.01,9080,1061
40.08,-106.67,8880,607
40.14,-105.59,9620,1251
40.16,-111.21,8123,795
40.17,-107.06,9100,426
40.19,-111.36,7377,1223
40.2,-105.6,9560,1042
40.21,-105.57,8600,412
40.23,-105.92,8720,793
40.23,-106.6,9240,913
40.28,-111.61,7774,1039
40.28,-115.54,8445,417
40.3,-111.26,8008,435
40.31,-105.64,9500,322
40.35,-106.09,9540,869
40.35,-106.38,10960,1030
40.36,-111.09,7915,432
40.36,-116.86,7400,1006
40.38,-115.53,8185,503
40.39,-106.6,9160,408
40.4,-105.85,9030,688
40.4,-105.96,10280,1031
40.43,-105.73,10700,870
40.43,-111.62,8140,820
40.44,-112.24,8704,723
40.46,-112.25,6520,1214
40.49,-112.61,8295,631
40.51,-105.77,9980,1123
40.53,-105.89,10120,551
40.53,-106.78,8400,457
40.55,-110.35,8464,1116
40.55,-110.69,7886,720
40.57,-112.17,7093,906
40.58,-105.63,9380,1122
40.6,-110.43,10128,566
40.6,-111.58,8766,366
40.61,-109.89,9553,643
40.61,-111.1,8280,330
40.62,-111.53,9230,814
40.64,-115.38,8051,570
40.66,-111.64,8963,628
40.67,-111.22,8532,1225
40.68,-110.95,9992,828
40.69,-120.61,7208,1277
40.71,-106.01,9020,1032
40.72,-109.54,8728,559
40.74,-109.67,9518,833
40.74,-110.62,10885,513
40.76,-111.63,7585,684
40.77,-110.01,10499,396
40.8,-107.1,8780,1252
40.8,-110.88,9130,517
40.81,-105.77,10220,438
40.83,-111.76,6700,972
40.84,-110.01,10235,1117
40.84,-110.66,9632,1192
40.84,-111.71,8161,596
40.85,-111.05,9171,392
40.86,-110.8,9133,579
40.86,-115.12,7760,1244
40.86,-115.22,6555,1243
40.87,-111.72,7250,896
40.88,-106.05,9700,718
40.88,-117.59,6616,1195
40.89,-105.66,8920,1161
40.89,-110.83,8777,992
40.89,-111.07,8208,393
40.89,-115.21,7903,453
40.91,-110.5,10158,790
40.92,-110.19,9168,528
40.93,-111.81,7740,971
40.95,-110.48,9500,521
40.96,-110.58,8869,1162
40.97,-111.81,7902,474
40.98,-110.85,8000,1135
40.99,-111.82,6779,1054
41,-106.91,8950,859
41.05,-107.27,7440,317
41.07,-106.94,8915,1047
41.16,-106.93,9250,852
41.22,-111.36,6082,1118
41.23,-105.38,8330,1045
41.23,-116.03,6325,811
41.24,-106.23,9574,1046
41.24,-120.79,6190,301
41.25,-111.41,7220,1145
41.3,-107.15,8880,449
41.31,-111.45,8199,533
41.32,-116.34,7700,1136
41.33,-106.5,8440,772
41.36,-111.49,8215,1056
41.38,-111.92,5972,333
41.38,-111.94,7689,332
41.4,-107.26,7850,1015
41.41,-111.54,8302,455
41.41,-111.83,6548,582
41.47,-111.5,8932,634
41.49,-119,7615,1194
41.52,-117.63,6395,569
41.55,-116.01,7377,548
41.58,-115.93,6798,1262
41.58,-120.3,7030,391
41.66,-115.32,7285,454
41.67,-117.57,8503,498
41.68,-111.42,7987,374
41.74,-115.47,7350,746
41.75,-117.53,6930,373
41.76,-115.69,6898,336
41.78,-116.03,6682,573
41.79,-111.55,7406,1013
41.82,-116.1,7031,476
41.83,-115.45,8040,321
41.86,-111.51,8270,1098
41.87,-115.25,8360,698
41.89,-111.57,6332,1113
41.89,-120.75,5170,977
41.9,-111.63,8474,823
41.92,-111.47,7705,1114
41.92,-113.41,8964,1151
41.97,-111.6,7250,1115
41.97,-118.19,6260,445
41.99,-120.18,7360,446
41.99,-120.72,5680,1258
42.01,-115,7120,871
42.05,-111.6,8140,484
42.05,-122.85,6050,341
42.08,-123.34,5130,343
42.13,-120.84,5770,794
42.15,-110.68,7840,509
42.16,-114.19,7500,359
42.18,-114.29,6880,610
42.21,-121.13,4890,945
42.22,-122.37,4580,1158
42.26,-112.13,6740,677
42.27,-110.81,8180,554
42.28,-105.58,7900,872
42.32,-113.62,7980,534
42.32,-120.83,5720,706
42.36,-111.56,7390,471
42.38,-122.35,4660,479
42.41,-111.17,6930,493
42.41,-121.68,6830,1077
42.41,-122.27,5280,344
42.44,-122.23,5970,483
42.49,-110.53,8060,765
42.51,-110.91,7640,730
42.52,-111.96,7850,741
42.53,-122.18,5940,406
42.56,-111.3,7225,761
42.57,-106.09,8400,716
42.58,-109.09,9000,1134
42.59,-108.9,9700,923
42.6,-116.56,5730,654
42.64,-120.95,6180,1010
42.65,-109.26,9080,342
42.65,-110.81,7670,419
42.69,-121.43,5030,810
42.7,-108.9,8700,826
42.7,-120.8,7080,800
42.7,-122.14,5700,745
42.71,-109.41,9360,1133
42.72,-123.2,4340,558
42.75,-118.69,6990,759
42.76,-110.59,8500,831
42.76,-112.48,6490,867
42.76,-116.9,6500,774
42.79,-121.98,5400,1078
42.82,-110.84,8080,868
42.87,-109.09,10100,525
42.87,-122.17,6010,1000
42.95,-111.36,6800,770
42.96,-110.61,8650,353
42.96,-121.18,5740,756
43.03,-109.17,8620,786
43.11,-109.95,8340,661
43.13,-110.2,7930,460
43.17,-110.14,8240,597
43.19,-122.14,5280,442
43.23,-121.81,4850,395
43.23,-122.43,3240,1044
43.25,-110.02,7740,555
43.27,-115.35,5710,382
43.28,-109.45,9630,405
43.29,-116.85,5600,2029
43.34,-110.43,6770,497
43.45,-122.14,5610,801
43.48,-114.83,5740,769
43.5,-109.75,9370,585
43.51,-115.57,4800,704
43.51,-121.98,4910,660
43.52,-110.91,8200,689
43.57,-111.21,6720,695
43.59,-122.06,5100,388
43.61,-113.93,6560,492
43.61,-122.12,4220,729
43.63,-113.97,7640,805
43.63,-115.44,7770,830
43.66,-109.01,8975,676
43.66,-122.21,2680,710
43.67,-109.38,8400,1130
43.67,-122.57,4930,529
43.7,-109.67,8750,379
43.71,-114.16,7620,537
43.74,-113.94,7900,320
43.75,-110.06,9580,822
43.76,-115.24,7580,306
43.76,-116.1,6340,978
43.77,-114.42,6310,895
43.78,-110.93,9260,1082
43.8,-114.85,8960,845
43.8,-121.95,5540,545
43.82,-114.26,7900,601
43.86,-114.21,7430,792
43.87,-114.71,8780,490
43.88,-114.67,7470,489
43.89,-107.06,8200,325
43.9,-122.03,4950,719
43.93,-115.67,6100,637
43.95,-110.45,7060,314
43.95,-115.27,5690,496
43.95,-119.54,6230,767
44.01,-118.84,5290,721
44.02,-113.47,8000,524
44.05,-115.44,7070,550
44.11,-103.98,6890,354
44.13,-110.67,6920,764
44.13,-110.83,7265,499
44.14,-121.64,5690,815
44.16,-107.13,9480,703
44.21,-103.79,6130,920
44.21,-110.67,7850,577
44.21,-118.64,5240,563
44.21,-121.87,4770,619
44.25,-118.52,5870,357
44.26,-106.98,8360,512
44.26,-119.02,5250,789
44.29,-115.66,5400,423
44.3,-109.24,8760,616
44.3,-115.23,7040,312
44.3,-122.04,3270,1167
44.33,-122.09,4720,1166
44.35,-107.01,8720,1132
44.37,-110.58,7980,816
44.38,-109.79,9780,350
44.38,-116.34,4920,979
44.39,-122.17,3520,552
44.41,-113.4,7440,636
44.42,-111.39,6290,546
44.42,-121.86,4790,526
44.43,-120.33,5430,671
44.44,-111.99,6900,424
44.44,-113.32,9150,620
44.44,-121.95,3740,733
44.45,-119.93,5850,440
44.46,-110.14,7120,807
44.48,-110.16,8420,806
44.49,-104.41,5910,982
44.5,-107.43,9580,751
44.51,-111.13,8170,347
44.52,-122.09,3690,434
44.53,-111.41,7710,860
44.54,-107.18,8870,1131
44.54,-115.56,6860,439
44.58,-107.2,7990,931
44.59,-111.12,7750,609
44.59,-111.82,7400,568
44.59,-121.97,2590,614
44.61,-111.15,6800,858
44.61,-116.98,6180,324
44.61,-122.23,4020,584
44.63,-115.79,6560,338
44.65,-109.78,9200,472
44.66,-111.09,6700,924
44.66,-118.43,5150,821
44.68,-107.58,9350,358
44.72,-110.51,7870,384
44.73,-109.91,9400,683
44.76,-118.31,5410,494
44.77,-116.25,6240,782
44.79,-112.06,7800,448
